Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),CUBO:Zone Mean Air Temperature [C](TimeStep) 
 05/15  03:59:00,21.0,27.128469886619754 
 05/15  04:00:00,21.0,27.11083955790789 
 05/15  04:01:00,21.0,27.093215290110642 
 05/15  04:02:00,21.0,27.075602326034925 
 05/15  04:03:00,21.0,27.058005170591674 
 05/15  04:04:00,20.9,27.040424908009893 
 05/15  04:05:00,20.9,27.022850693101045 
 05/15  04:06:00,20.9,27.005287883529537 
 05/15  04:07:00,20.9,26.987741093326505 
 05/15  04:08:00,20.9,26.97021153872595 
 05/15  04:09:00,20.9,26.95268853573028 
 05/15  04:10:00,20.9,26.93517755663619 
 05/15  04:11:00,20.9,26.917683282485424 
 05/15  04:12:00,20.9,26.900206941068607 
 05/15  04:13:00,20.9,26.882747854602226 
 05/15  04:14:00,20.8,26.865294892276573 
 05/15  04:15:00,20.8,26.847853706586147 
 05/15  04:16:00,20.8,26.830429282824003 
 05/15  04:17:00,20.8,26.81302312444515 
 05/15  04:18:00,20.8,26.795634796840258 
 05/15  04:19:00,20.8,26.77825341503555 
 05/15  04:20:00,20.8,26.76088480615695 
 05/15  04:21:00,20.8,26.74353407463253 
 05/15  04:22:00,20.8,26.72620277383576 
 05/15  04:23:00,20.8,26.708890446554623 
 05/15  04:24:00,20.8,26.69159615180101 
 05/15  04:25:00,20.7,26.67431913521068 
 05/15  04:26:00,20.7,26.657058951983316 
 05/15  04:27:00,20.7,26.639805387700992 
 05/15  04:28:00,20.7,26.622564909797592 
 05/15  04:29:00,20.7,26.605343098791444 
 05/15  04:30:00,20.7,26.58814187011714 
 05/15  04:31:00,20.7,26.570961063486926 
 05/15  04:32:00,20.7,26.55379997992158 
 05/15  04:33:00,20.7,26.536658040896093 
 05/15  04:34:00,20.7,26.519534898914635 
 05/15  04:35:00,20.7,26.50243037252467 
 05/15  04:36:00,20.7,26.48534438037715 
 05/15  04:37:00,20.6,26.468276911965404 
 05/15  04:38:00,20.6,26.45122802332589 
 05/15  04:39:00,20.6,26.43419784096053 
 05/15  04:40:00,20.6,26.417186562059488 
 05/15  04:41:00,20.6,26.400194443093298 
 05/15  04:42:00,20.6,26.383221775342253 
 05/15  04:43:00,20.6,26.366268853710796 
 05/15  04:44:00,20.6,26.34933594867552 
 05/15  04:45:00,20.6,26.33242328897586 
 05/15  04:46:00,20.6,26.315531057645064 
 05/15  04:47:00,20.6,26.298659399588495 
 05/15  04:48:00,20.6,26.281808436677192 
 05/15  04:49:00,20.6,26.26497828606729 
 05/15  04:50:00,20.6,26.248169078326768 
 05/15  04:51:00,20.5,26.231380973163077 
 05/15  04:52:00,20.5,26.214614171615036 
 05/15  04:53:00,20.5,26.197868923822487 
 05/15  04:54:00,20.5,26.181145529488283 
 05/15  04:55:00,20.5,26.164444326387226 
 05/15  04:56:00,20.5,26.14777565765583 
 05/15  04:57:00,20.5,26.13113338566052 
 05/15  04:58:00,20.5,26.114512330580045 
 05/15  04:59:00,20.5,26.097910983278386 
 05/15  05:00:00,20.5,26.08132988047684 
 05/15  05:01:00,20.5,26.064770049347885 
 05/15  05:02:00,20.5,26.04824233302511 
 05/15  05:03:00,20.5,26.03174084835502 
 05/15  05:04:00,20.6,26.015260531986062 
 05/15  05:05:00,20.6,25.9987999632354 
 05/15  05:06:00,20.6,25.982359801888364 
 05/15  05:07:00,20.6,25.965951223219122 
 05/15  05:08:00,20.6,25.949568884755774 
 05/15  05:09:00,20.6,25.933208257410538 
 05/15  05:10:00,20.7,25.916868448697674 
 05/15  05:11:00,20.7,25.90056064142664 
 05/15  05:12:00,20.7,25.884280237644425 
 05/15  05:13:00,20.7,25.868023598730847 
 05/15  05:14:00,20.7,25.851800616492238 
 05/15  05:15:00,20.8,25.835606782200568 
 05/15  05:16:00,20.8,25.81943912782728 
 05/15  05:17:00,20.8,25.803308269581017 
 05/15  05:18:00,20.8,25.78721032991213 
 05/15  05:19:00,20.8,25.77114284329316 
 05/15  05:20:00,20.9,25.755116798544282 
 05/15  05:21:00,20.9,25.739128672333354 
 05/15  05:22:00,20.9,25.723186251263215 
 05/15  05:23:00,20.9,25.707284392984995 
 05/15  05:24:00,20.9,25.69143068917656 
 05/15  05:25:00,20.9,25.675620349122024 
 05/15  05:26:00,21.0,25.659861350104112 
 05/15  05:27:00,21.0,25.644149187544343 
 05/15  05:28:00,21.0,25.62849197765866 
 05/15  05:29:00,21.0,25.612885293081526 
 05/15  05:30:00,21.1,25.597337219201023 
 05/15  05:31:00,21.1,25.58185326312605 
 05/15  05:32:00,21.1,25.566425110708966 
 05/15  05:33:00,21.1,25.55105906990355 
 05/15  05:34:00,21.1,25.535760413545876 
 05/15  05:35:00,21.2,25.520521175103212 
 05/15  05:36:00,21.2,25.505347985969753 
 05/15  05:37:00,21.2,25.490246330577605 
 05/15  05:38:00,21.2,25.47521834249493 
 05/15  05:39:00,21.2,25.460264400172225 
 05/15  05:40:00,21.3,25.44538454991801 
 05/15  05:41:00,21.3,25.43057908051546 
 05/15  05:42:00,21.3,25.415848585058907 
 05/15  05:43:00,21.3,25.401193860585902 
 05/15  05:44:00,21.3,25.386615810470396 
 05/15  05:45:00,21.4,25.372115387729057 
 05/15  05:46:00,21.4,25.35769356748282 
 05/15  05:47:00,21.4,25.343351329777065 
 05/15  05:48:00,21.4,25.32908964377119 
 05/15  05:49:00,21.5,25.314909454920727 
 05/15  05:50:00,21.5,25.300821628735026 
 05/15  05:51:00,21.5,25.28682077511351 
 05/15  05:52:00,21.5,25.272902334856585 
 05/15  05:53:00,21.6,25.25907528785158 
 05/15  05:54:00,21.6,25.245334443167046 
 05/15  05:55:00,21.6,25.231676015509834 
 05/15  05:56:00,21.6,25.21810960569811 
 05/15  05:57:00,21.6,25.204630520562716 
 05/15  05:58:00,21.7,25.191245189743224 
 05/15  05:59:00,21.7,25.177957267613973 
 05/15  06:00:00,21.7,25.164756787258643 
 05/15  06:01:00,21.8,25.151648453555726 
 05/15  06:02:00,21.9,25.138636200578077 
 05/15  06:03:00,22.0,25.1257108923983 
 05/15  06:04:00,22.1,25.112877869868715 
 05/15  06:05:00,22.1,25.100141482679618 
 05/15  06:06:00,22.2,25.087502880898267 
 05/15  06:07:00,22.3,25.07496159370597 
 05/15  06:08:00,22.4,25.062516983498995 
 05/15  06:09:00,22.5,25.050168880293953 
 05/15  06:10:00,22.6,25.037917706035213 
 05/15  06:11:00,22.6,25.025764426257894 
 05/15  06:12:00,22.7,25.013710489434615 
 05/15  06:13:00,22.8,25.001757792188112 
 05/15  06:14:00,22.9,24.989918604763567 
 05/15  06:15:00,23.0,24.978189564998146 
 05/15  06:16:00,23.1,24.96656841611549 
 05/15  06:17:00,23.2,24.955066675146192 
 05/15  06:18:00,23.3,24.943682174454516 
 05/15  06:19:00,23.3,24.932424228329687 
 05/15  06:20:00,23.4,24.921289757498922 
 05/15  06:21:00,23.5,24.910288330267335 
 05/15  06:22:00,23.6,24.899427594535442 
 05/15  06:23:00,23.7,24.88870187448821 
 05/15  06:24:00,23.8,24.87811996757828 
 05/15  06:25:00,23.9,24.867689991153927 
 05/15  06:26:00,24.0,24.85741704546931 
 05/15  06:27:00,24.0,24.847304601299033 
 05/15  06:28:00,24.1,24.83735581102807 
 05/15  06:29:00,24.2,24.827574051998706 
 05/15  06:30:00,24.3,24.81796299202004 
 05/15  06:31:00,24.4,24.808536414363687 
 05/15  06:32:00,24.5,24.799292366897543 
 05/15  06:33:00,24.6,24.790239448603145 
 05/15  06:34:00,24.7,24.78137376987667 
 05/15  06:35:00,24.8,24.772703875068576 
 05/15  06:36:00,24.9,24.764236374674596 
 05/15  06:37:00,24.9,24.755974460599344 
 05/15  06:38:00,25.0,24.747919703031414 
 05/15  06:39:00,25.1,24.74007346610059 
 05/15  06:40:00,25.2,24.732437437603565 
 05/15  06:41:00,25.3,24.72501365733437 
 05/15  06:42:00,25.4,24.71780439249172 
 05/15  06:43:00,25.5,24.710821930763426 
 05/15  06:44:00,25.6,24.704062927743212 
 05/15  06:45:00,25.7,24.697534396225002 
 05/15  06:46:00,25.8,24.691240933806284 
 05/15  06:47:00,25.8,24.68518385315835 
 05/15  06:48:00,25.9,24.679363046086692 
 05/15  06:49:00,26.0,24.673778322870977 
 05/15  06:50:00,26.1,24.668429879988825 
 05/15  06:51:00,26.2,24.66331830385321 
 05/15  06:52:00,26.3,24.658454708721596 
 05/15  06:53:00,26.4,24.65383406170894 
 05/15  06:54:00,26.5,24.649462370540792 
