Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),CUBO:Zone Mean Air Temperature [C](TimeStep) 
 05/15  03:06:00,21.7,26.892932502101633 
 05/15  03:07:00,21.7,26.873309576136272 
 05/15  03:08:00,21.7,26.85370198599371 
 05/15  03:09:00,21.6,26.83410930490293 
 05/15  03:10:00,21.6,26.814531169500963 
 05/15  03:11:00,21.6,26.794967404731253 
 05/15  03:12:00,21.6,26.775417987675183 
 05/15  03:13:00,21.6,26.75588294505457 
 05/15  03:14:00,21.6,26.736362254682657 
 05/15  03:15:00,21.6,26.716855810177073 
 05/15  03:16:00,21.5,26.69736346367886 
 05/15  03:17:00,21.5,26.67788511849466 
 05/15  03:18:00,21.5,26.658420816663746 
 05/15  03:19:00,21.5,26.638970751910644 
 05/15  03:20:00,21.5,26.61953519003434 
 05/15  03:21:00,21.5,26.600114362229803 
 05/15  03:22:00,21.5,26.58070841042788 
 05/15  03:23:00,21.4,26.561317412862696 
 05/15  03:24:00,21.4,26.54194146608585 
 05/15  03:25:00,21.4,26.52258076794122 
 05/15  03:26:00,21.4,26.503235630165126 
 05/15  03:27:00,21.4,26.483906401008788 
 05/15  03:28:00,21.4,26.464593362175528 
 05/15  03:29:00,21.4,26.44529667836135 
 05/15  03:30:00,21.4,26.42601642711854 
 05/15  03:31:00,21.3,26.406752685956583 
 05/15  03:32:00,21.3,26.38750563456914 
 05/15  03:33:00,21.3,26.368275625063436 
 05/15  03:34:00,21.3,26.349063166004456 
 05/15  03:35:00,21.3,26.32986881471075 
 05/15  03:36:00,21.3,26.310693049612944 
 05/15  03:37:00,21.3,26.29153620324247 
 05/15  03:38:00,21.3,26.272398482975564 
 05/15  03:39:00,21.2,26.253280054774795 
 05/15  03:40:00,21.2,26.23418114603608 
 05/15  03:41:00,21.2,26.215102118922594 
 05/15  03:42:00,21.2,26.19604345888438 
 05/15  03:43:00,21.2,26.177005672009297 
 05/15  03:44:00,21.2,26.157989162465395 
 05/15  03:45:00,21.2,26.13900427532971 
 05/15  03:46:00,21.2,26.120044885333627 
 05/15  03:47:00,21.1,26.10110605946998 
 05/15  03:48:00,21.1,26.08218633816201 
 05/15  03:49:00,21.1,26.063286156697625 
 05/15  03:50:00,21.1,26.044406475830822 
 05/15  03:51:00,21.1,26.025558268713002 
 05/15  03:52:00,21.1,26.0067359114977 
 05/15  03:53:00,21.1,25.98793475105644 
 05/15  03:54:00,21.1,25.96915335942531 
 05/15  03:55:00,21.0,25.950391993341942 
 05/15  03:56:00,21.0,25.93166143098797 
 05/15  03:57:00,21.0,25.91295616607417 
 05/15  03:58:00,21.0,25.89427187018843 
 05/15  03:59:00,21.0,25.875607527753736 
 05/15  04:00:00,21.0,25.8569737912622 
 05/15  04:01:00,21.0,25.838365245487818 
 05/15  04:02:00,21.0,25.819777441644842 
 05/15  04:03:00,21.0,25.801219185499086 
 05/15  04:04:00,20.9,25.78268467929229 
 05/15  04:05:00,20.9,25.764169848024846 
 05/15  04:06:00,20.9,25.745684151224488 
 05/15  04:07:00,20.9,25.727222481980643 
 05/15  04:08:00,20.9,25.70878126630015 
 05/15  04:09:00,20.9,25.690370094480546 
 05/15  04:10:00,20.9,25.671983665635274 
 05/15  04:11:00,20.9,25.65362809532766 
 05/15  04:12:00,20.9,25.635296323211307 
 05/15  04:13:00,20.9,25.61698408579812 
 05/15  04:14:00,20.8,25.59870094421707 
 05/15  04:15:00,20.8,25.580442000078236 
 05/15  04:16:00,20.8,25.562214018896743 
 05/15  04:17:00,20.8,25.544010792071145 
 05/15  04:18:00,20.8,25.525838886540193 
 05/15  04:19:00,20.8,25.507692096244543 
 05/15  04:20:00,20.8,25.48957681631694 
 05/15  04:21:00,20.8,25.471486558512666 
 05/15  04:22:00,20.8,25.45342747464632 
 05/15  04:23:00,20.8,25.435393025163815 
 05/15  04:24:00,20.8,25.417389489178706 
 05/15  04:25:00,20.7,25.39941064333358 
 05/15  04:26:00,20.7,25.381463156527346 
 05/15  04:27:00,20.7,25.36355132637104 
 05/15  04:28:00,20.7,25.34566596262424 
 05/15  04:29:00,20.7,25.327812591162928 
 05/15  04:30:00,20.7,25.309985212488492 
 05/15  04:31:00,20.7,25.292190638246662 
 05/15  04:32:00,20.7,25.274432862914477 
 05/15  04:33:00,20.7,25.25670208095879 
 05/15  04:34:00,20.7,25.239003074958696 
 05/15  04:35:00,20.7,25.221339427438377 
 05/15  04:36:00,20.7,25.203701726693502 
 05/15  04:37:00,20.6,25.186095395376476 
 05/15  04:38:00,20.6,25.168524719057583 
 05/15  04:39:00,20.6,25.150991046462487 
 05/15  04:40:00,20.6,25.133484223598124 
 05/15  04:41:00,20.6,25.116009897161447 
 05/15  04:42:00,20.6,25.098572588902062 
 05/15  04:43:00,20.6,25.081173435633655 
 05/15  04:44:00,20.6,25.063811723607127 
 05/15  04:45:00,20.6,25.046486253559898 
 05/15  04:46:00,20.6,25.02918586189936 
 05/15  04:47:00,20.6,25.01191577461822 
 05/15  04:48:00,20.6,24.99468040897121 
 05/15  04:49:00,20.6,24.977481139386594 
 05/15  04:50:00,20.6,24.960317859993545 
 05/15  04:51:00,20.5,24.943190290432156 
 05/15  04:52:00,20.5,24.926098457737893 
 05/15  04:53:00,20.5,24.909042713459723 
 05/15  04:54:00,20.5,24.892023572906147 
 05/15  04:55:00,20.5,24.87504150312409 
 05/15  04:56:00,20.5,24.85809674671398 
 05/15  04:57:00,20.5,24.84118924345376 
 05/15  04:58:00,20.5,24.82431865913076 
 05/15  04:59:00,20.5,24.807484486486167 
 05/15  05:00:00,20.5,24.790686170132176 
 05/15  05:01:00,20.5,24.773923218540826 
 05/15  05:02:00,20.5,24.757195284876993 
 05/15  05:03:00,20.5,24.74050221347042 
 05/15  05:04:00,20.6,24.723844056993947 
 05/15  05:05:00,20.6,24.707221073223458 
 05/15  05:06:00,20.6,24.690643956348865 
 05/15  05:07:00,20.6,24.67410713852765 
 05/15  05:08:00,20.6,24.657606756843744 
 05/15  05:09:00,20.6,24.641142747486526 
 05/15  05:10:00,20.7,24.624717224082847 
 05/15  05:11:00,20.7,24.60834329114949 
 05/15  05:12:00,20.7,24.592017726953777 
 05/15  05:13:00,20.7,24.57573865993666 
 05/15  05:14:00,20.7,24.55951784605807 
 05/15  05:15:00,20.8,24.543352373187005 
 05/15  05:16:00,20.8,24.52724118556987 
 05/15  05:17:00,20.8,24.51119673658759 
 05/15  05:18:00,20.8,24.49521658915037 
 05/15  05:19:00,20.8,24.479310151456357 
 05/15  05:20:00,20.9,24.46347356492992 
 05/15  05:21:00,20.9,24.44771603107587 
 05/15  05:22:00,20.9,24.432033851499494 
 05/15  05:23:00,20.9,24.416436257515397 
 05/15  05:24:00,20.9,24.40091951736391 
 05/15  05:25:00,20.9,24.385492745215583 
 05/15  05:26:00,21.0,24.37016233610271 
 05/15  05:27:00,21.0,24.35492090692102 
 05/15  05:28:00,21.0,24.33977569640647 
 05/15  05:29:00,21.0,24.32473233468757 
 05/15  05:30:00,21.1,24.309793228925024 
 05/15  05:31:00,21.1,24.294959206925927 
 05/15  05:32:00,21.1,24.28023077900504 
 05/15  05:33:00,21.1,24.265608609668664 
 05/15  05:34:00,21.1,24.25109359942366 
 05/15  05:35:00,21.2,24.23668684812122 
 05/15  05:36:00,21.2,24.222389571903644 
 05/15  05:37:00,21.2,24.20820299722563 
 05/15  05:38:00,21.2,24.19412828986276 
 05/15  05:39:00,21.2,24.180177196844078 
 05/15  05:40:00,21.3,24.166344076133658 
 05/15  05:41:00,21.3,24.152625082328626 
 05/15  05:42:00,21.3,24.139030242162207 
 05/15  05:43:00,21.3,24.125553862231882 
 05/15  05:44:00,21.3,24.11220289421368 
 05/15  05:45:00,21.4,24.098980925440166 
 05/15  05:46:00,21.4,24.085877486310107 
 05/15  05:47:00,21.4,24.072897974328168 
 05/15  05:48:00,21.4,24.060045994804195 
 05/15  05:49:00,21.5,24.047322096352016 
 05/15  05:50:00,21.5,24.034725442659212 
 05/15  05:51:00,21.5,24.022255012492156 
 05/15  05:52:00,21.5,24.00991001715977 
 05/15  05:53:00,21.6,23.997689952948114 
 05/15  05:54:00,21.6,23.985594553282798 
 05/15  05:55:00,21.6,23.973623717469174 
 05/15  05:56:00,21.6,23.961777458741377 
 05/15  05:57:00,21.6,23.950067749993696 
 05/15  05:58:00,21.7,23.938486599998203 
 05/15  05:59:00,21.7,23.92702940101224 
 05/15  06:00:00,21.7,23.91570684739939 
 05/15  06:01:00,21.8,23.90451125646659 
 05/15  06:02:00,21.9,23.893450013638297 
 05/15  06:03:00,22.0,23.88252594498031 
 05/15  06:04:00,22.1,23.87172676269676 
 05/15  06:05:00,22.1,23.86105883893243 
 05/15  06:06:00,22.2,23.85052606229584 
 05/15  06:07:00,22.3,23.840129886116557 
 05/15  06:08:00,22.4,23.82987141898902 
 05/15  06:09:00,22.5,23.819752622256498 
 05/15  06:10:00,22.6,23.80977659351789 
 05/15  06:11:00,22.6,23.79994747511913 
 05/15  06:12:00,22.7,23.790270316646794 
 05/15  06:13:00,22.8,23.780765647117978 
 05/15  06:14:00,22.9,23.771428026103447 
 05/15  06:15:00,23.0,23.762259509387174 
 05/15  06:16:00,23.1,23.75328090744538 
 05/15  06:17:00,23.2,23.744502969392485 
 05/15  06:18:00,23.3,23.735917496389153 
 05/15  06:19:00,23.3,23.727540369444583 
 05/15  06:20:00,23.4,23.719381894335175 
 05/15  06:21:00,23.5,23.711448856135505 
 05/15  06:22:00,23.6,23.703747015094056 
 05/15  06:23:00,23.7,23.696282077097212 
 05/15  06:24:00,23.8,23.689079787327234 
 05/15  06:25:00,23.9,23.682126490508484 
 05/15  06:26:00,24.0,23.675441263636998 
 05/15  06:27:00,24.0,23.669011987619346 
 05/15  06:28:00,24.1,23.662857562406032 
 05/15  06:29:00,24.2,23.656985117467258 
 05/15  06:30:00,24.3,23.651397044258633 
 05/15  06:31:00,24.4,23.64609514383248 
 05/15  06:32:00,24.5,23.641109900324665 
 05/15  06:33:00,24.6,23.636413482816103 
 05/15  06:34:00,24.7,23.632026733753968 
 05/15  06:35:00,24.8,23.627952726520494 
 05/15  06:36:00,24.9,23.62418842858391 
 05/15  06:37:00,24.9,23.620731665106135 
 05/15  06:38:00,25.0,23.617582112187637 
 05/15  06:39:00,25.1,23.614768090418536 
 05/15  06:40:00,25.2,23.612262865532053 
 05/15  06:41:00,25.3,23.610074764920938 
 05/15  06:42:00,25.4,23.608204398358133 
 05/15  06:43:00,25.5,23.60664757788072 
 05/15  06:44:00,25.6,23.60540043049197 
 05/15  06:45:00,25.7,23.60446067537559 
 05/15  06:46:00,25.8,23.6038271088804 
 05/15  06:47:00,25.8,23.603498981336436 
 05/15  06:48:00,25.9,23.60347570805459 
 05/15  06:49:00,26.0,23.603806141585633 
 05/15  06:50:00,26.1,23.604475946416187 
 05/15  06:51:00,26.2,23.605463828093693 
 05/15  06:52:00,26.3,23.606759175551332 
 05/15  06:53:00,26.4,23.608359261978507 
 05/15  06:54:00,26.5,23.6102641226478 
 05/15  06:55:00,26.6,23.612473996363747 
 05/15  06:56:00,26.7,23.61498875359937 
 05/15  06:57:00,26.8,23.617808054483223 
 05/15  06:58:00,26.9,23.620931576275154 
 05/15  06:59:00,26.9,23.624359137091172 
 05/15  07:00:00,27.0,23.628090731173838 
 05/15  07:01:00,27.1,23.632126506877107 
 05/15  07:02:00,27.2,23.636466678770816 
